RANK,CITY,SIZEGROUP(URBAN),POPULATION,POPDENSITY,CRIMERATE,UNEMPLOYMENT,MEDIANINCOME,AVEHOUSEPRICE,LAT,LON
01,Saskatoon,Large,264637,1965.7,118.33,4.4,83127,334100,52.146973,-106.647034
02,Regina,Large,224996,2130.4,110.41,6.3,84391,338800,50.445210,-104.618896
03,Prince Albert,Medium,36768,1720.5,249.28,6.6,71019,320320,53.203350,-105.753075
04,Mosse Jaw,Medium,32813,1482.1,104.28,2.8,69084,239000,50.393333,-105.551941
05,Swift Current,Small,16304,1109.9,52.20,3.5,75015,356795,50.288055,-107.793892
06,Yorkton,Small,15969,1495.2,128.56,4.4,69074,250000,51.213890,-102.462776
07,North Battleford,Small,13649,1574.3,317.32,4.7,67648,211000,52.757500,-108.286110
08,Warman,Small,12362,1615.9,74.99,6.2,80335,320000,52.321945,-106.584167
09,Weyburn,Small,10883,1278.8,108.47,5.2,97235,262500,49.663284,-103.853294
10,Estevan,Small,10629,1127.1,108.27,8.5,99635,250567,49.136730,-102.9915
